,name,group_weight
0,H14.09.001,7.84
1,H14.09.002,20.6
2,H14.09.003,7.84
3,H14.09.004,35.33
4,H14.09.005,8.81
5,H14.09.006,69.65
6,H14.09.007,4.42
7,H14.09.008,18.17
8,H14.09.009,3.87
9,H14.09.010,12.31
10,H14.09.011,23.21
11,H14.09.012,40.2
12,H14.09.013,4.42
13,H14.09.014,41.96
14,H14.09.015,14.19
15,H14.09.016,81.22
16,H14.09.017,11.36
17,H14.09.018,34.63
18,H14.09.019,14.67
19,H14.09.020,84.16
20,H14.09.021,5.66
21,H14.09.022,24.39
22,H14.09.023,76.3
23,H14.09.024,81.22
24,H14.09.025,4.07
25,H14.09.026,43.81
26,H14.09.027,16.97
27,H14.09.028,67.23
28,H14.09.029,6.73
29,H14.09.030,69.65
30,H14.09.031,8.81
31,H14.09.032,121.14
32,H14.09.033,9.52
33,H14.09.034,22.82
34,H14.09.037,24.08
35,H14.09.038,116.91
36,H14.09.039,10.31
37,H14.09.040,34.13
38,H14.09.041,14.67
39,H14.09.042,35.34
40,H14.09.043,10.31
41,H14.09.044,40.2
42,H14.09.045,9.16
43,H14.09.046,27.97
44,H14.09.047,10.31
45,H14.09.048,47.76
46,H14.09.049,11.54
47,H14.09.050,41.96
48,H14.09.051,27.37
49,H14.09.052,94.49
50,H14.09.053,7.84
51,H14.09.054,24.39
52,H14.09.055,7.84
53,H14.09.056,78.66
54,H14.09.057,10.31
55,H14.09.058,47.75
56,H14.09.059,10.31
57,H14.09.060,112.54
58,H14.09.061,8.81
59,H14.09.062,69.65
60,H14.09.063,5.42
61,H14.09.064,24.39
62,H14.09.065,9.16
63,H14.09.066,18.17
64,H14.09.067,5.66
65,H14.09.068,22.82
66,H14.09.069,11.54
67,H14.09.070,35.33
68,H14.09.071,13.03
69,H14.09.072,69.65
70,H14.09.073,12.06
71,H14.09.074,133.43
72,H14.09.075,63.18
73,H14.09.076,232.77
74,H14.09.077,12.11
75,H14.09.078,47.75
76,H14.09.079,15.35
77,H14.09.080,73.08
78,H14.09.081,7.84
79,H14.09.082,26.19
80,H14.09.083,16.97
81,H14.09.084,80.02
82,H14.09.085,11.74
83,H14.09.086,23.61
84,H14.09.087,7.94
85,H14.09.088,27.98
86,H14.09.089,8.32
87,H14.09.090,82.9
88,H14.09.091,4.66
89,H14.09.092,20.6
90,H14.09.093,55.42
91,H14.09.094,179.7
92,H14.09.095,24.08
93,H14.09.096,63.08
94,H14.09.097,17.29
95,H14.09.098,19.37
96,H14.09.099,4.47
97,H14.09.100,24.39
98,H14.09.101,29.54
99,H14.09.102,54.94
100,H15.09.103,17.31
101,H15.09.104,82.9
102,H15.09.106,37.73
103,H15.09.107,14.19
104,H15.09.108,82.9
105,H15.09.109,9.69
106,H15.09.110,98.17
